,algorithm,n_trees,F,train_acc,test_acc,feature_importance
31,decision forest,10,FMethodDF.RUNIF,1.0,0.947,"[('petal length (cm)', 0.283), ('sepal width (cm)', 0.255), ('petal width (cm)', 0.246), ('sepal length (cm)', 0.215)]"
32,decision forest,25,0.25,0.964,0.895,"[('sepal length (cm)', 0.32), ('petal width (cm)', 0.28), ('sepal width (cm)', 0.24), ('petal length (cm)', 0.16)]"
33,decision forest,25,0.5,1.0,0.947,"[('petal width (cm)', 0.371), ('petal length (cm)', 0.309), ('sepal length (cm)', 0.204), ('sepal width (cm)', 0.116)]"
34,decision forest,25,0.75,1.0,0.974,"[('petal width (cm)', 0.44), ('petal length (cm)', 0.408), ('sepal width (cm)', 0.083), ('sepal length (cm)', 0.068)]"
35,decision forest,25,FMethodDF.RUNIF,1.0,0.974,"[('petal width (cm)', 0.384), ('petal length (cm)', 0.324), ('sepal width (cm)', 0.161), ('sepal length (cm)', 0.131)]"
36,decision forest,50,0.25,0.964,0.895,"[('sepal length (cm)', 0.3), ('petal width (cm)', 0.28), ('sepal width (cm)', 0.24), ('petal length (cm)', 0.18)]"
37,decision forest,50,0.5,1.0,0.947,"[('petal width (cm)', 0.388), ('petal length (cm)', 0.33), ('sepal length (cm)', 0.187), ('sepal width (cm)', 0.095)]"
38,decision forest,50,0.75,1.0,0.974,"[('petal width (cm)', 0.443), ('petal length (cm)', 0.398), ('sepal width (cm)', 0.085), ('sepal length (cm)', 0.075)]"
39,decision forest,50,FMethodDF.RUNIF,1.0,0.974,"[('petal width (cm)', 0.398), ('petal length (cm)', 0.339), ('sepal length (cm)', 0.146), ('sepal width (cm)', 0.117)]"
40,decision forest,75,0.25,0.964,0.895,"[('petal width (cm)', 0.333), ('sepal width (cm)', 0.253), ('sepal length (cm)', 0.253), ('petal length (cm)', 0.16)]"
41,decision forest,75,0.5,1.0,0.947,"[('petal width (cm)', 0.403), ('petal length (cm)', 0.317), ('sepal length (cm)', 0.181), ('sepal width (cm)', 0.099)]"
42,decision forest,75,0.75,1.0,0.974,"[('petal width (cm)', 0.462), ('petal length (cm)', 0.38), ('sepal width (cm)', 0.089), ('sepal length (cm)', 0.069)]"
43,decision forest,75,FMethodDF.RUNIF,1.0,0.974,"[('petal width (cm)', 0.429), ('petal length (cm)', 0.286), ('sepal width (cm)', 0.181), ('sepal length (cm)', 0.104)]"
44,decision forest,100,0.25,0.973,0.947,"[('petal width (cm)', 0.31), ('sepal length (cm)', 0.25), ('sepal width (cm)', 0.24), ('petal length (cm)', 0.2)]"
45,decision forest,100,0.5,1.0,0.947,"[('petal length (cm)', 0.374), ('petal width (cm)', 0.364), ('sepal length (cm)', 0.168), ('sepal width (cm)', 0.095)]"
46,decision forest,100,0.75,1.0,0.974,"[('petal length (cm)', 0.433), ('petal width (cm)', 0.406), ('sepal width (cm)', 0.09), ('sepal length (cm)', 0.071)]"
47,decision forest,100,FMethodDF.RUNIF,1.0,0.974,"[('petal width (cm)', 0.367), ('petal length (cm)', 0.356), ('sepal length (cm)', 0.153), ('sepal width (cm)', 0.124)]"
