,algorithm,n_trees,F,train_acc,test_acc,feature_importance
23,random forest,100,FMethodRF.SQRT,1.0,0.704,"[('Al', 0.222), ('Mg', 0.153), ('Ca', 0.129), ('Na', 0.117), ('Ba', 0.108), ('RI', 0.1), ('K', 0.086), ('Si', 0.074), ('Fe', 0.012)]"
24,decision forest,1,0.25,0.806,0.537,"[('K', 0.755), ('Fe', 0.245), ('Ba', 0.0), ('Ca', 0.0), ('Si', 0.0), ('Al', 0.0), ('Mg', 0.0), ('Na', 0.0), ('RI', 0.0)]"
25,decision forest,1,0.5,1.0,0.519,"[('Na', 0.409), ('Si', 0.347), ('K', 0.239), ('Fe', 0.005), ('Ba', 0.0), ('Ca', 0.0), ('Al', 0.0), ('Mg', 0.0), ('RI', 0.0)]"
26,decision forest,1,0.75,1.0,0.537,"[('Ba', 0.335), ('Si', 0.204), ('Ca', 0.188), ('K', 0.165), ('Na', 0.099), ('Fe', 0.009), ('Al', 0.0), ('Mg', 0.0), ('RI', 0.0)]"
27,decision forest,1,FMethodDF.RUNIF,1.0,0.537,"[('Ba', 0.335), ('Si', 0.204), ('Ca', 0.188), ('K', 0.165), ('Na', 0.099), ('Fe', 0.009), ('Al', 0.0), ('Mg', 0.0), ('RI', 0.0)]"
28,decision forest,10,0.25,1.0,0.556,"[('RI', 0.204), ('Al', 0.197), ('Mg', 0.178), ('K', 0.126), ('Ba', 0.078), ('Si', 0.075), ('Ca', 0.049), ('Fe', 0.049), ('Na', 0.043)]"
29,decision forest,10,0.5,1.0,0.704,"[('Al', 0.219), ('Ba', 0.176), ('Mg', 0.126), ('Si', 0.112), ('Na', 0.104), ('Ca', 0.095), ('RI', 0.094), ('K', 0.069), ('Fe', 0.006)]"
30,decision forest,10,0.75,1.0,0.63,"[('Al', 0.254), ('Ba', 0.242), ('Si', 0.124), ('Mg', 0.119), ('Na', 0.07), ('RI', 0.066), ('Ca', 0.062), ('K', 0.061), ('Fe', 0.003)]"
31,decision forest,10,FMethodDF.RUNIF,1.0,0.685,"[('Al', 0.271), ('Ba', 0.248), ('Mg', 0.11), ('RI', 0.109), ('Si', 0.096), ('Ca', 0.067), ('K', 0.061), ('Na', 0.033), ('Fe', 0.006)]"
32,decision forest,25,0.25,1.0,0.611,"[('Ca', 0.146), ('Ba', 0.132), ('RI', 0.129), ('Na', 0.121), ('Mg', 0.116), ('Al', 0.105), ('Si', 0.103), ('K', 0.102), ('Fe', 0.047)]"
